method_is_post,method_is_put,method_is_other,url_length_raw,url_is_absolute,url_parse_error,url_host_present,url_host_is_ip,url_host_non_ascii_count,url_userinfo_present,url_port_present,url_port_valid,url_fragment_present,path_length_raw,path_percent_encoding_count,path_invalid_percent_count,path_non_ascii_count,path_control_char_count,path_digit_ratio,path_special_ratio,path_sql_pattern_count,path_xss_pattern_count,path_traversal_pattern_count,path_shell_metachar_count,path_segment_count,path_double_slash_count,path_extension_like_segment_count,path_hidden_segment_count,path_nested_extension_transition,path_max_segment_length,path_backslash_count,query_present,query_length_raw,query_percent_encoding_count,query_invalid_percent_count,query_non_ascii_count,query_control_char_count,query_digit_ratio,query_special_ratio,query_sql_pattern_count,query_xss_pattern_count,query_traversal_pattern_count,query_shell_metachar_count,query_parameter_count,query_repeated_parameter_count,query_empty_value_count,query_without_equals_count,query_max_name_length,query_max_value_length,body_present,body_length_raw,body_percent_encoding_count,body_invalid_percent_count,body_non_ascii_count,body_control_char_count,body_digit_ratio,body_special_ratio,body_sql_pattern_count,body_xss_pattern_count,body_traversal_pattern_count,body_shell_metachar_count,body_parameter_count,body_repeated_parameter_count,body_empty_value_count,body_without_equals_count,body_max_name_length,body_max_value_length,header_unique_count,header_duplicate_count,header_has_host,header_has_content_type,content_type_is_form_urlencoded,header_has_content_length,content_length_valid,content_length_delta,host_matches_url_host,label
0,0,0,64,1,0,1,0,0,0,1,1,0,36,0,0,0,0,0.027777777777777776,0.1111111111111111,0,0,0,0,3,0,1,0,0,19,0,1,6,1,0,0,0,0,0.5,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,89,1,0,1,0,0,0,1,1,0,26,0,0,0,0,0.038461538461538464,0.15384615384615385,0,0,0,0,3,0,1,0,0,9,0,1,41,1,0,0,0,0.12820512820512819,0.15384615384615385,0,0,0,2,3,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,372,1,0,1,0,0,0,1,1,0,29,0,0,0,0,0.034482758620689655,0.13793103448275862,0,0,0,0,3,0,1,0,0,12,0,1,321,7,0,0,0,0.1986970684039088,0.11074918566775244,0,0,0,12,13,0,0,0,9,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,82,1,0,1,0,0,0,1,1,0,26,0,0,0,0,0.038461538461538464,0.15384615384615385,0,0,0,0,3,0,1,0,0,9,0,1,34,1,0,0,0,0.1875,0.1875,0,0,0,2,3,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,297,1,0,1,0,0,0,1,1,0,29,0,0,0,0,0.034482758620689655,0.13793103448275862,0,0,0,0,3,0,1,0,0,12,0,1,246,2,0,0,0,0.13223140495867769,0.11983471074380166,0,0,0,12,13,0,0,0,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,136,1,0,1,0,0,0,1,1,0,26,0,0,0,0,0.038461538461538464,0.15384615384615385,0,0,0,0,3,0,1,0,0,9,0,1,88,7,0,0,0,0.067567567567567571,0.22972972972972974,2,0,0,4,3,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
1,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,144,9,0,1,0,0.26190476190476192,0.14285714285714285,0,0,0,4,5,0,0,0,8,70,12,0,1,1,1,1,1,0,1,1
0,0,0,49,1,0,1,0,0,0,1,1,0,28,0,0,0,0,0.035714285714285712,0.17857142857142858,0,0,0,0,3,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
1,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0.030303030303030304,0,0,0,0,1,0,0,0,8,24,12,0,1,1,1,1,1,0,1,0
0,0,0,61,1,0,1,0,0,0,1,1,0,40,0,0,0,0,0.025000000000000001,0.125,0,0,0,0,3,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,51,1,0,1,0,0,0,1,1,0,30,0,0,0,0,0.033333333333333333,0.20000000000000001,0,0,0,0,2,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
1,0,0,52,1,0,1,0,0,0,1,1,0,31,0,0,0,0,0.032258064516129031,0.12903225806451613,0,0,0,0,3,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0,0,0,0.016949152542372881,0.15254237288135594,0,0,0,4,5,0,0,0,8,8,12,0,1,1,1,1,1,0,1,0
1,0,0,47,1,0,1,0,0,0,1,1,0,26,0,0,0,0,0.038461538461538464,0.15384615384615385,0,0,0,0,3,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,5,0,0,0,0.10416666666666667,0.20833333333333334,1,0,0,2,3,0,0,0,6,14,12,0,1,1,1,1,1,0,1,1
0,0,0,52,1,0,1,0,0,0,1,1,0,31,0,0,0,0,0.032258064516129031,0.22580645161290322,0,0,0,0,3,0,2,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
1,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0.055555555555555552,0.055555555555555552,0,0,0,0,1,0,0,0,3,14,12,0,1,1,1,1,1,0,1,1
0,0,0,131,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,1,82,5,0,3,0,0.097222222222222224,0.16666666666666666,0,0,0,4,5,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,267,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,1,218,18,0,0,0,0.076923076923076927,0.18131868131868131,0,2,0,9,5,0,0,0,8,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
1,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0.029411764705882353,0,0,0,0,1,0,0,0,9,24,12,0,1,1,1,1,1,0,1,1
0,0,0,116,1,0,1,0,0,0,1,1,0,31,0,0,0,0,0.032258064516129031,0.12903225806451613,0,0,0,0,3,0,1,0,0,14,0,1,63,0,0,0,0,0.031746031746031744,0.14285714285714285,0,0,0,4,5,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,44,1,0,1,0,0,0,1,1,0,23,0,0,0,0,0.086956521739130432,0.17391304347826086,0,0,0,0,3,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,130,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,1,81,5,0,3,0,0.084507042253521125,0.16901408450704225,0,0,0,4,5,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,50,1,0,1,0,0,0,1,1,0,29,0,0,0,0,0.034482758620689655,0.13793103448275862,0,0,0,0,3,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,123,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,1,74,3,0,3,0,0.088235294117647065,0.13235294117647059,0,0,0,4,5,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,91,1,0,1,0,0,0,1,1,0,26,0,0,0,0,0.038461538461538464,0.15384615384615385,0,0,0,0,3,0,1,0,0,9,0,1,43,0,0,0,0,0.11627906976744186,0.11627906976744186,0,0,0,2,3,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,83,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,1,34,0,0,0,0,0,0.029411764705882353,0,0,0,0,1,0,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,39,1,0,1,0,0,0,1,1,0,18,0,0,0,0,0.055555555555555552,0.16666666666666666,0,0,0,0,2,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
1,0,0,47,1,0,1,0,0,0,1,1,0,26,0,0,0,0,0.038461538461538464,0.15384615384615385,0,0,0,0,3,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0.11627906976744186,0.11627906976744186,0,0,0,2,3,0,0,0,6,14,12,0,1,1,1,1,1,0,1,0
1,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,8,0,0,0,0.1134020618556701,0.1134020618556701,0,0,0,0,1,0,0,0,8,88,12,0,1,1,1,1,1,0,1,1
0,0,0,50,1,0,1,0,0,0,1,1,0,29,0,0,0,0,0.034482758620689655,0.13793103448275862,0,0,0,0,3,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,58,1,0,1,0,0,0,1,1,0,37,0,0,0,0,0.027027027027027029,0.13513513513513514,0,0,0,0,4,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,46,1,0,1,0,0,0,1,1,0,25,0,0,0,0,0.040000000000000001,0.16,0,0,0,0,3,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
1,0,0,50,1,0,1,0,0,0,1,1,0,29,0,0,0,0,0.034482758620689655,0.13793103448275862,0,0,0,0,3,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,251,5,0,0,0,0.13278008298755187,0.13278008298755187,0,0,0,12,13,0,0,0,9,30,12,0,1,1,1,1,1,0,1,1
0,0,0,279,1,0,1,0,0,0,1,1,0,28,0,0,0,0,0.035714285714285712,0.14285714285714285,0,0,0,0,3,0,1,0,0,10,0,1,229,1,0,0,0,0.15859030837004406,0.12334801762114538,0,0,0,12,13,0,0,0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,26,1,0,1,0,0,0,1,1,0,5,0,0,0,0,0,0.40000000000000002,0,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,111,1,0,1,0,0,0,1,1,0,31,0,0,0,0,0.032258064516129031,0.12903225806451613,0,0,0,0,3,0,1,0,0,14,0,1,58,0,0,0,0,0.017241379310344827,0.17241379310344829,0,0,0,4,5,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,62,1,0,1,0,0,0,1,1,0,36,0,0,0,0,0.027777777777777776,0.1111111111111111,0,0,0,0,3,0,1,0,0,19,0,1,4,0,0,0,0,0.25,0.25,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,115,1,0,1,0,0,0,1,1,0,31,0,0,0,0,0.032258064516129031,0.12903225806451613,0,0,0,0,3,0,1,0,0,14,0,1,62,0,0,0,0,0.016129032258064516,0.14516129032258066,0,0,0,4,5,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,316,1,0,1,0,0,0,1,1,0,28,0,0,0,0,0.035714285714285712,0.14285714285714285,0,0,0,0,3,0,1,0,0,10,0,1,266,8,0,4,0,0.128,0.124,0,0,0,12,13,0,0,0,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
1,0,0,47,1,0,1,0,0,0,1,1,0,26,0,0,0,0,0.038461538461538464,0.15384615384615385,0,0,0,0,3,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0.11627906976744186,0.11627906976744186,0,0,0,2,3,0,0,0,6,14,12,0,1,1,1,1,1,0,1,0
0,0,0,53,1,0,1,0,0,0,1,1,0,32,0,0,0,0,0.03125,0.15625,0,0,0,0,3,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,62,1,0,1,0,0,0,1,1,0,36,0,0,0,0,0.027777777777777776,0.1111111111111111,0,0,0,0,3,0,1,0,0,19,0,1,4,0,0,0,0,0.25,0.25,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,63,1,0,1,0,0,0,1,1,0,36,0,0,0,0,0.027777777777777776,0.1111111111111111,0,0,0,0,3,0,1,0,0,19,0,1,5,0,0,0,0,0.20000000000000001,0.20000000000000001,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
1,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0.029411764705882353,0,0,0,0,1,0,0,0,9,24,12,0,1,1,1,1,1,0,1,1
0,0,0,58,1,0,1,0,0,0,1,1,0,37,0,0,0,0,0.027027027027027029,0.13513513513513514,0,0,0,0,4,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,41,1,0,1,0,0,0,1,1,0,20,0,0,0,0,0.050000000000000003,0.14999999999999999,0,0,0,0,2,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
1,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0.058823529411764705,0.058823529411764705,0,0,0,0,1,0,0,0,2,14,12,0,1,1,1,1,1,0,1,0
0,0,0,301,1,0,1,0,0,0,1,1,0,29,0,0,0,0,0.034482758620689655,0.13793103448275862,0,0,0,0,3,0,1,0,0,12,0,1,250,5,0,2,0,0.14583333333333334,0.12083333333333333,0,0,0,12,13,0,0,0,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,46,1,0,1,0,0,0,1,1,0,25,0,0,0,0,0.040000000000000001,0.16,0,0,0,0,3,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,42,1,0,1,0,0,0,1,1,0,21,0,0,0,0,0.047619047619047616,0.14285714285714285,0,0,0,0,2,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
1,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0.055555555555555552,0.055555555555555552,0,0,0,0,1,0,0,0,3,14,12,0,1,1,1,1,1,0,1,1
