categoria,campo,normal_ocorrencias,normal_percentual,anomalo_ocorrencias,anomalo_percentual,diferenca_anomalo_menos_normal_pp,normal_metodos,anomalo_metodos,normal_formas_valores,anomalo_formas_valores,comparacao
parametro_body,body_param:ciudad,2000,5.5556,2763,11.0233,5.4677,POST,POST|PUT,comprimento:9-32=1252; alfanumerico=1104; texto/simbolos=896; contem-espaco=851; comprimento:1-8=743; contem-byte-nao-ascii=535; contem-aspas=23; comprimento:33-128=5,comprimento:9-32=1758; alfanumerico=1460; texto/simbolos=1302; contem-espaco=1187; comprimento:1-8=944; contem-byte-nao-ascii=705; contem-aspas=82; comprimento:33-128=57; contem-ponto-e-virgula=25; contem-parenteses=18; percent-encoded=17; contem-marcacao-angle-brackets=15,mais frequente no anômalo
parametro_body,body_param:ciudadA,0,0.0,66,0.2633,0.2633,,POST,,comprimento:9-32=43; alfanumerico=38; texto/simbolos=28; contem-espaco=25; comprimento:1-8=21; contem-byte-nao-ascii=19; comprimento:33-128=2; contem-aspas=1,somente no anômalo
parametro_body,body_param:cp,2000,5.5556,2759,11.0074,5.4518,POST,POST|PUT,comprimento:1-8=2000; inteiro=2000,comprimento:1-8=2709; inteiro=2635; texto/simbolos=63; alfanumerico=58; comprimento:33-128=36; percent-encoded=30; contem-aspas=26; contem-espaco=24; contem-ponto-e-virgula=14; comprimento:9-32=13; contem-marcacao-angle-brackets=11; contem-parenteses=11,mais frequente no anômalo
parametro_body,body_param:cpA,0,0.0,70,0.2793,0.2793,,POST,,comprimento:1-8=70; inteiro=70,somente no anômalo
parametro_body,body_param:direccion,2000,5.5556,2761,11.0154,5.4598,POST,POST|PUT,texto/simbolos=2000; contem-espaco=2000; comprimento:9-32=1814; comprimento:33-128=184; contem-byte-nao-ascii=122; contem-aspas=16; comprimento:1-8=2,texto/simbolos=2760; contem-espaco=2742; comprimento:9-32=2472; comprimento:33-128=281; contem-byte-nao-ascii=167; contem-aspas=56; percent-encoded=36; contem-parenteses=12; contem-ponto-e-virgula=12; contem-marcacao-angle-brackets=11; comprimento:1-8=5; comprimento:129-512=3,mais frequente no anômalo
parametro_body,body_param:direccionA,0,0.0,68,0.2713,0.2713,,POST,,texto/simbolos=68; contem-espaco=68; comprimento:9-32=60; comprimento:33-128=8; contem-byte-nao-ascii=1,somente no anômalo
parametro_body,body_param:dni,2000,5.5556,2760,11.0114,5.4558,POST,POST|PUT,comprimento:9-32=2000; alfanumerico=2000,comprimento:9-32=2712; alfanumerico=2663; texto/simbolos=90; contem-aspas=60; comprimento:33-128=35; contem-espaco=30; percent-encoded=23; contem-ponto-e-virgula=20; contem-marcacao-angle-brackets=14; contem-parenteses=13; comprimento:1-8=10; inteiro=4,mais frequente no anômalo
parametro_body,body_param:dniA,0,0.0,69,0.2753,0.2753,,POST,,comprimento:9-32=69; alfanumerico=69,somente no anômalo
parametro_body,body_param:email,2000,5.5556,2759,11.0074,5.4518,POST,POST|PUT,email=1996; comprimento:9-32=1718; comprimento:33-128=282; contem-byte-nao-ascii=33; texto/simbolos=4,email=2616; comprimento:9-32=2333; comprimento:33-128=411; texto/simbolos=143; contem-byte-nao-ascii=71; percent-encoded=37; contem-aspas=36; contem-espaco=33; contem-ponto-e-virgula=19; contem-parenteses=16; comprimento:1-8=12; contem-marcacao-angle-brackets=10,mais frequente no anômalo
parametro_body,body_param:emailA,0,0.0,70,0.2793,0.2793,,POST,,email=70; comprimento:9-32=65; comprimento:33-128=5; contem-byte-nao-ascii=2,somente no anômalo
parametro_body,body_param:errorMsg,1000,2.7778,494,1.9709,-0.8069,POST,POST|PUT,comprimento:9-32=1000; texto/simbolos=1000; contem-espaco=1000,texto/simbolos=489; contem-espaco=346; comprimento:33-128=254; contem-aspas=202; percent-encoded=186; comprimento:9-32=147; contem-ponto-e-virgula=96; contem-parenteses=92; contem-marcacao-angle-brackets=87; comprimento:1-8=70; comprimento:129-512=23; email=5,mais frequente no normal
parametro_body,body_param:errorMsgA,0,0.0,444,1.7714,1.7714,,POST,,comprimento:9-32=444; texto/simbolos=444; contem-espaco=444,somente no anômalo
parametro_body,body_param:id,2000,5.5556,1901,7.5843,2.0287,POST,POST|PUT,comprimento:1-8=2000; inteiro=2000,comprimento:1-8=1477; inteiro=1171; texto/simbolos=703; contem-aspas=284; contem-espaco=245; comprimento:33-128=243; percent-encoded=220; comprimento:9-32=151; contem-ponto-e-virgula=143; contem-parenteses=132; contem-marcacao-angle-brackets=101; comprimento:129-512=30,mais frequente no anômalo
parametro_body,body_param:idA,0,0.0,543,2.1664,2.1664,,POST,,comprimento:1-8=543; inteiro=543,somente no anômalo
parametro_body,body_param:login,3000,8.3333,4089,16.3136,7.9803,POST,POST|PUT,comprimento:1-8=2917; alfanumerico=2896; texto/simbolos=104; comprimento:9-32=83,comprimento:1-8=3734; alfanumerico=3579; texto/simbolos=498; comprimento:9-32=253; contem-aspas=146; comprimento:33-128=94; contem-espaco=88; percent-encoded=61; contem-parenteses=40; contem-ponto-e-virgula=36; contem-marcacao-angle-brackets=30; comprimento:129-512=8,mais frequente no anômalo
parametro_body,body_param:loginA,0,0.0,162,0.6463,0.6463,,POST,,comprimento:1-8=157; alfanumerico=156; texto/simbolos=6; comprimento:9-32=5,somente no anômalo
parametro_body,body_param:modo,4000,11.1111,5334,21.2807,10.1696,POST,POST|PUT,comprimento:1-8=4000; alfanumerico=4000,comprimento:1-8=5067; alfanumerico=5020; texto/simbolos=303; contem-aspas=141; comprimento:33-128=134; contem-espaco=129; comprimento:9-32=118; percent-encoded=115; contem-ponto-e-virgula=66; contem-parenteses=56; contem-marcacao-angle-brackets=49; comprimento:129-512=15,mais frequente no anômalo
parametro_body,body_param:modoA,0,0.0,296,1.1809,1.1809,,POST,,comprimento:1-8=296; alfanumerico=296,somente no anômalo
parametro_body,body_param:nombre,3000,8.3333,4102,16.3654,8.0321,POST,POST|PUT,alfanumerico=1975; comprimento:1-8=1766; comprimento:9-32=1234; texto/simbolos=1025; contem-espaco=1025; contem-byte-nao-ascii=558,alfanumerico=2568; comprimento:1-8=2335; comprimento:9-32=1681; texto/simbolos=1527; contem-espaco=1398; contem-byte-nao-ascii=648; contem-aspas=137; comprimento:33-128=79; percent-encoded=61; contem-ponto-e-virgula=46; contem-parenteses=34; contem-marcacao-angle-brackets=25,mais frequente no anômalo
parametro_body,body_param:nombreA,0,0.0,168,0.6703,0.6703,,POST,,comprimento:9-32=106; texto/simbolos=98; contem-espaco=98; alfanumerico=70; comprimento:1-8=62; contem-byte-nao-ascii=25,somente no anômalo
parametro_body,body_param:ntc,2000,5.5556,2758,11.0034,5.4478,POST,POST|PUT,comprimento:9-32=2000; inteiro=2000,comprimento:9-32=2708; inteiro=2647; texto/simbolos=59; alfanumerico=46; comprimento:33-128=32; percent-encoded=25; contem-aspas=24; contem-espaco=21; contem-marcacao-angle-brackets=18; comprimento:1-8=14; contem-parenteses=12; contem-ponto-e-virgula=9,mais frequente no anômalo
parametro_body,body_param:ntcA,0,0.0,71,0.2833,0.2833,,POST,,comprimento:9-32=71; inteiro=71,somente no anômalo
parametro_body,body_param:password,2000,5.5556,2762,11.0193,5.4637,POST,POST|PUT,alfanumerico=1768; comprimento:1-8=1004; comprimento:9-32=996; contem-byte-nao-ascii=287; texto/simbolos=232,alfanumerico=2259; comprimento:9-32=1521; comprimento:1-8=1199; texto/simbolos=494; contem-byte-nao-ascii=408; contem-aspas=75; comprimento:33-128=40; contem-espaco=38; percent-encoded=25; contem-ponto-e-virgula=21; contem-parenteses=18; contem-marcacao-angle-brackets=10,mais frequente no anômalo
parametro_body,body_param:passwordA,0,0.0,67,0.2673,0.2673,,POST,,alfanumerico=56; comprimento:9-32=43; comprimento:1-8=24; contem-byte-nao-ascii=14; texto/simbolos=11,somente no anômalo
parametro_body,body_param:precio,2000,5.5556,2586,10.3172,4.7616,POST,POST|PUT,comprimento:1-8=2000; inteiro=2000,comprimento:1-8=2417; inteiro=2184; texto/simbolos=388; comprimento:33-128=102; contem-aspas=98; percent-encoded=92; contem-espaco=87; comprimento:9-32=54; contem-marcacao-angle-brackets=51; contem-ponto-e-virgula=39; contem-parenteses=36; comprimento:129-512=13,mais frequente no anômalo
parametro_body,body_param:precioA,0,0.0,234,0.9336,0.9336,,POST,,comprimento:1-8=234; inteiro=234,somente no anômalo
parametro_body,body_param:provincia,2000,5.5556,2765,11.0313,5.4757,POST,POST|PUT,alfanumerico=1884; comprimento:1-8=1550; comprimento:9-32=450; contem-byte-nao-ascii=350; texto/simbolos=116; contem-espaco=116; contem-parenteses=15,alfanumerico=2425; comprimento:1-8=2005; comprimento:9-32=727; contem-byte-nao-ascii=490; texto/simbolos=336; contem-espaco=213; contem-parenteses=38; percent-encoded=34; comprimento:33-128=33; contem-aspas=28; contem-ponto-e-virgula=13; contem-marcacao-angle-brackets=11,mais frequente no anômalo
parametro_body,body_param:provinciaA,0,0.0,64,0.2553,0.2553,,POST,,alfanumerico=58; comprimento:1-8=46; comprimento:9-32=18; contem-byte-nao-ascii=11; texto/simbolos=6; contem-espaco=6; contem-parenteses=2,somente no anômalo
parametro_body,body_param:pwd,1000,2.7778,1337,5.3341,2.5563,POST,POST|PUT,alfanumerico=891; comprimento:9-32=539; comprimento:1-8=461; contem-byte-nao-ascii=150; texto/simbolos=109,alfanumerico=979; comprimento:9-32=707; comprimento:1-8=582; texto/simbolos=343; contem-byte-nao-ascii=234; contem-aspas=127; comprimento:33-128=45; percent-encoded=39; contem-espaco=36; contem-ponto-e-virgula=20; contem-parenteses=18; contem-marcacao-angle-brackets=14,mais frequente no anômalo
parametro_body,body_param:pwdA,0,0.0,85,0.3391,0.3391,,POST,,alfanumerico=75; comprimento:9-32=43; comprimento:1-8=42; texto/simbolos=10; contem-byte-nao-ascii=10,somente no anômalo
parametro_body,body_param:remember,1000,2.7778,1338,5.3381,2.5603,POST,POST|PUT,comprimento:1-8=1000; booleano/textual=1000,comprimento:1-8=1265; booleano/textual=1080; texto/simbolos=252; comprimento:33-128=52; percent-encoded=40; contem-aspas=39; contem-espaco=37; contem-ponto-e-virgula=24; comprimento:9-32=21; contem-parenteses=20; contem-marcacao-angle-brackets=12; email=4,mais frequente no anômalo
parametro_body,body_param:rememberA,0,0.0,84,0.3351,0.3351,,POST,,comprimento:1-8=84; booleano/textual=84,somente no anômalo
header,header:accept,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:33-128=36000; texto/simbolos=36000; contem-ponto-e-virgula=36000,comprimento:33-128=25065; texto/simbolos=25065; contem-ponto-e-virgula=25065,presença equivalente
header,header:accept-charset,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:9-32=36000; texto/simbolos=36000; contem-espaco=36000; contem-ponto-e-virgula=36000,comprimento:9-32=25065; texto/simbolos=25065; contem-espaco=25065; contem-ponto-e-virgula=25065,presença equivalente
header,header:accept-encoding,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:9-32=36000; texto/simbolos=36000; contem-espaco=36000,comprimento:9-32=25065; texto/simbolos=25065; contem-espaco=25065,presença equivalente
header,header:accept-language,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:1-8=36000; alfanumerico=36000,comprimento:1-8=25065; alfanumerico=25065,presença equivalente
header,header:cache-control,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:1-8=36000; texto/simbolos=36000,comprimento:1-8=25065; texto/simbolos=25065,presença equivalente
header,header:connection,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:1-8=36000; alfanumerico=36000,comprimento:1-8=25065; alfanumerico=25065,presença equivalente
header,header:content-length,8000,22.2222,9977,39.8045,17.5823,POST,POST|PUT,comprimento:1-8=8000; inteiro=8000,comprimento:1-8=9977; inteiro=9977,mais frequente no anômalo
header,header:content-type,8000,22.2222,9977,39.8045,17.5823,POST,POST|PUT,comprimento:33-128=8000; texto/simbolos=8000,comprimento:33-128=9977; texto/simbolos=9977,mais frequente no anômalo
header,header:cookie,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:33-128=36000; texto/simbolos=36000,comprimento:33-128=25065; texto/simbolos=25065,presença equivalente
header,header:host,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:9-32=36000; texto/simbolos=36000,comprimento:9-32=25065; texto/simbolos=25065,presença equivalente
header,header:pragma,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:1-8=36000; texto/simbolos=36000,comprimento:1-8=25065; texto/simbolos=25065,presença equivalente
header,header:user-agent,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:33-128=36000; texto/simbolos=36000; contem-espaco=36000; contem-ponto-e-virgula=36000; contem-parenteses=36000,comprimento:33-128=25065; texto/simbolos=25065; contem-espaco=25065; contem-ponto-e-virgula=25065; contem-parenteses=25065,presença equivalente
estrutura,headers,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:1-8=36000; inteiro=36000,comprimento:1-8=25065; inteiro=25065,presença equivalente
estrutura,query.parameters,8000,22.2222,9609,38.3363,16.1141,GET,GET,comprimento:1-8=8000; alfanumerico=8000,comprimento:1-8=9609; alfanumerico=9609,mais frequente no anômalo
parametro_query,query_param:B1,5000,13.8889,6400,25.5336,11.6447,GET,GET,comprimento:9-32=4000; alfanumerico=3497; texto/simbolos=1503; contem-espaco=1503; contem-byte-nao-ascii=1000; comprimento:1-8=1000,comprimento:9-32=4935; alfanumerico=4039; texto/simbolos=2352; contem-espaco=1917; contem-byte-nao-ascii=1238; comprimento:1-8=1237; comprimento:33-128=206; contem-aspas=202; percent-encoded=176; contem-ponto-e-virgula=88; contem-marcacao-angle-brackets=71; contem-parenteses=66,mais frequente no anômalo
parametro_query,query_param:B1A,0,0.0,410,1.6357,1.6357,,GET,,comprimento:9-32=317; alfanumerico=247; texto/simbolos=163; contem-espaco=163; contem-byte-nao-ascii=95; comprimento:1-8=93,somente no anômalo
parametro_query,query_param:B2,1000,2.7778,468,1.8671,-0.9107,GET,GET,comprimento:9-32=1000; texto/simbolos=1000; contem-espaco=1000,texto/simbolos=460; contem-espaco=330; comprimento:33-128=245; contem-aspas=205; percent-encoded=201; comprimento:9-32=137; contem-ponto-e-virgula=113; contem-parenteses=100; contem-marcacao-angle-brackets=77; comprimento:1-8=64; comprimento:129-512=22; email=8,mais frequente no normal
parametro_query,query_param:B2A,0,0.0,451,1.7993,1.7993,,GET,,comprimento:9-32=451; texto/simbolos=451; contem-espaco=451,somente no anômalo
parametro_query,query_param:Open,0,0.0,5,0.0199,0.0199,,GET,,comprimento:0=5; vazio=5,somente no anômalo
parametro_query,query_param:OpenServer,0,0.0,7,0.0279,0.0279,,GET,,comprimento:0=7; vazio=7,somente no anômalo
parametro_query,query_param:apellidos,2000,5.5556,2658,10.6044,5.0488,GET,GET,comprimento:9-32=1643; texto/simbolos=1606; contem-espaco=1606; contem-byte-nao-ascii=507; alfanumerico=394; comprimento:1-8=357; contem-aspas=11,comprimento:9-32=2227; texto/simbolos=2227; contem-espaco=2195; contem-byte-nao-ascii=590; alfanumerico=429; comprimento:1-8=398; contem-aspas=39; comprimento:33-128=29; percent-encoded=19; contem-ponto-e-virgula=17; contem-marcacao-angle-brackets=13; contem-parenteses=11,mais frequente no anômalo
parametro_query,query_param:apellidosA,0,0.0,68,0.2713,0.2713,,GET,,comprimento:9-32=57; texto/simbolos=56; contem-espaco=56; contem-byte-nao-ascii=15; alfanumerico=12; comprimento:1-8=11,somente no anômalo
parametro_query,query_param:cantidad,1000,2.7778,1305,5.2065,2.4287,GET,GET,comprimento:1-8=1000; inteiro=1000,comprimento:1-8=1227; inteiro=1202; texto/simbolos=98; contem-aspas=55; contem-espaco=47; comprimento:33-128=43; percent-encoded=35; comprimento:9-32=29; contem-ponto-e-virgula=25; contem-parenteses=20; contem-marcacao-angle-brackets=18; comprimento:129-512=6,mais frequente no anômalo
parametro_query,query_param:cantidadA,0,0.0,75,0.2992,0.2992,,GET,,comprimento:1-8=75; inteiro=75,somente no anômalo
parametro_query,query_param:ciudad,2000,5.5556,2660,10.6124,5.0568,GET,GET,comprimento:9-32=1252; alfanumerico=1104; texto/simbolos=896; contem-espaco=851; comprimento:1-8=743; contem-byte-nao-ascii=535; contem-aspas=23; comprimento:33-128=5,comprimento:9-32=1695; alfanumerico=1403; texto/simbolos=1256; contem-espaco=1142; comprimento:1-8=905; contem-byte-nao-ascii=675; contem-aspas=79; comprimento:33-128=56; contem-ponto-e-virgula=25; contem-parenteses=18; percent-encoded=17; contem-marcacao-angle-brackets=15,mais frequente no anômalo
parametro_query,query_param:ciudadA,0,0.0,66,0.2633,0.2633,,GET,,comprimento:9-32=43; alfanumerico=38; texto/simbolos=28; contem-espaco=25; comprimento:1-8=21; contem-byte-nao-ascii=19; comprimento:33-128=2; contem-aspas=1,somente no anômalo
parametro_query,query_param:cp,2000,5.5556,2656,10.5964,5.0408,GET,GET,comprimento:1-8=2000; inteiro=2000,comprimento:1-8=2606; inteiro=2532; texto/simbolos=63; alfanumerico=58; comprimento:33-128=36; percent-encoded=30; contem-aspas=26; contem-espaco=24; contem-ponto-e-virgula=14; comprimento:9-32=13; contem-marcacao-angle-brackets=11; contem-parenteses=11,mais frequente no anômalo
parametro_query,query_param:cpA,0,0.0,70,0.2793,0.2793,,GET,,comprimento:1-8=70; inteiro=70,somente no anômalo
parametro_query,query_param:direccion,2000,5.5556,2658,10.6044,5.0488,GET,GET,texto/simbolos=2000; contem-espaco=2000; comprimento:9-32=1814; comprimento:33-128=184; contem-byte-nao-ascii=122; contem-aspas=16; comprimento:1-8=2,texto/simbolos=2657; contem-espaco=2639; comprimento:9-32=2379; comprimento:33-128=271; contem-byte-nao-ascii=163; contem-aspas=55; percent-encoded=36; contem-parenteses=12; contem-ponto-e-virgula=12; contem-marcacao-angle-brackets=11; comprimento:1-8=5; comprimento:129-512=3,mais frequente no anômalo
parametro_query,query_param:direccionA,0,0.0,68,0.2713,0.2713,,GET,,texto/simbolos=68; contem-espaco=68; comprimento:9-32=60; comprimento:33-128=8; contem-byte-nao-ascii=1,somente no anômalo
parametro_query,query_param:dni,2000,5.5556,2657,10.6004,5.0448,GET,GET,comprimento:9-32=2000; alfanumerico=2000,comprimento:9-32=2609; alfanumerico=2560; texto/simbolos=90; contem-aspas=60; comprimento:33-128=35; contem-espaco=30; percent-encoded=23; contem-ponto-e-virgula=20; contem-marcacao-angle-brackets=14; contem-parenteses=13; comprimento:1-8=10; inteiro=4,mais frequente no anômalo
parametro_query,query_param:dniA,0,0.0,69,0.2753,0.2753,,GET,,comprimento:9-32=69; alfanumerico=69,somente no anômalo
parametro_query,query_param:email,2000,5.5556,2656,10.5964,5.0408,GET,GET,email=1996; comprimento:9-32=1718; comprimento:33-128=282; contem-byte-nao-ascii=33; texto/simbolos=4,email=2513; comprimento:9-32=2240; comprimento:33-128=401; texto/simbolos=143; contem-byte-nao-ascii=69; percent-encoded=37; contem-aspas=36; contem-espaco=33; contem-ponto-e-virgula=19; contem-parenteses=16; comprimento:1-8=12; contem-marcacao-angle-brackets=10,mais frequente no anômalo
parametro_query,query_param:emailA,0,0.0,70,0.2793,0.2793,,GET,,email=70; comprimento:9-32=65; comprimento:33-128=5; contem-byte-nao-ascii=2,somente no anômalo
parametro_query,query_param:errorMsg,1000,2.7778,453,1.8073,-0.9705,GET,GET,comprimento:9-32=1000; texto/simbolos=1000; contem-espaco=1000,texto/simbolos=448; contem-espaco=305; comprimento:33-128=254; contem-aspas=202; percent-encoded=186; comprimento:9-32=106; contem-ponto-e-virgula=96; contem-parenteses=92; contem-marcacao-angle-brackets=87; comprimento:1-8=70; comprimento:129-512=23; email=5,mais frequente no normal
parametro_query,query_param:errorMsgA,0,0.0,444,1.7714,1.7714,,GET,,comprimento:9-32=444; texto/simbolos=444; contem-espaco=444,somente no anômalo
parametro_query,query_param:id,2000,5.5556,1791,7.1454,1.5898,GET,GET,comprimento:1-8=2000; inteiro=2000,comprimento:1-8=1367; inteiro=1061; texto/simbolos=703; contem-aspas=284; contem-espaco=245; comprimento:33-128=243; percent-encoded=220; comprimento:9-32=151; contem-ponto-e-virgula=143; contem-parenteses=132; contem-marcacao-angle-brackets=101; comprimento:129-512=30,mais frequente no anômalo
parametro_query,query_param:idA,0,0.0,543,2.1664,2.1664,,GET,,comprimento:1-8=543; inteiro=543,somente no anômalo
parametro_query,query_param:login,3000,8.3333,3925,15.6593,7.326,GET,GET,comprimento:1-8=2917; alfanumerico=2896; texto/simbolos=104; comprimento:9-32=83,comprimento:1-8=3572; alfanumerico=3418; texto/simbolos=495; comprimento:9-32=251; contem-aspas=146; comprimento:33-128=94; contem-espaco=88; percent-encoded=61; contem-parenteses=40; contem-ponto-e-virgula=36; contem-marcacao-angle-brackets=30; comprimento:129-512=8,mais frequente no anômalo
parametro_query,query_param:loginA,0,0.0,162,0.6463,0.6463,,GET,,comprimento:1-8=157; alfanumerico=156; texto/simbolos=6; comprimento:9-32=5,somente no anômalo
parametro_query,query_param:modo,4000,11.1111,5134,20.4827,9.3716,GET,GET,comprimento:1-8=4000; alfanumerico=4000,comprimento:1-8=4867; alfanumerico=4820; texto/simbolos=303; contem-aspas=141; comprimento:33-128=134; contem-espaco=129; comprimento:9-32=118; percent-encoded=115; contem-ponto-e-virgula=66; contem-parenteses=56; contem-marcacao-angle-brackets=49; comprimento:129-512=15,mais frequente no anômalo
parametro_query,query_param:modoA,0,0.0,296,1.1809,1.1809,,GET,,comprimento:1-8=296; alfanumerico=296,somente no anômalo
parametro_query,query_param:nombre,3000,8.3333,3938,15.7112,7.3779,GET,GET,alfanumerico=1975; comprimento:1-8=1766; comprimento:9-32=1234; texto/simbolos=1025; contem-espaco=1025; contem-byte-nao-ascii=558,alfanumerico=2467; comprimento:1-8=2249; comprimento:9-32=1603; texto/simbolos=1464; contem-espaco=1335; contem-byte-nao-ascii=621; contem-aspas=137; comprimento:33-128=79; percent-encoded=61; contem-ponto-e-virgula=46; contem-parenteses=34; contem-marcacao-angle-brackets=25,mais frequente no anômalo
parametro_query,query_param:nombreA,0,0.0,168,0.6703,0.6703,,GET,,comprimento:9-32=106; texto/simbolos=98; contem-espaco=98; alfanumerico=70; comprimento:1-8=62; contem-byte-nao-ascii=25,somente no anômalo
parametro_query,query_param:ntc,2000,5.5556,2655,10.5925,5.0369,GET,GET,comprimento:9-32=2000; inteiro=2000,comprimento:9-32=2605; inteiro=2544; texto/simbolos=59; alfanumerico=46; comprimento:33-128=32; percent-encoded=25; contem-aspas=24; contem-espaco=21; contem-marcacao-angle-brackets=18; comprimento:1-8=14; contem-parenteses=12; contem-ponto-e-virgula=9,mais frequente no anômalo
parametro_query,query_param:ntcA,0,0.0,71,0.2833,0.2833,,GET,,comprimento:9-32=71; inteiro=71,somente no anômalo
parametro_query,query_param:password,2000,5.5556,2659,10.6084,5.0528,GET,GET,alfanumerico=1768; comprimento:1-8=1004; comprimento:9-32=996; contem-byte-nao-ascii=287; texto/simbolos=232,alfanumerico=2173; comprimento:9-32=1459; comprimento:1-8=1158; texto/simbolos=477; contem-byte-nao-ascii=396; contem-aspas=75; comprimento:33-128=40; contem-espaco=38; percent-encoded=25; contem-ponto-e-virgula=21; contem-parenteses=18; contem-marcacao-angle-brackets=10,mais frequente no anômalo
parametro_query,query_param:passwordA,0,0.0,67,0.2673,0.2673,,GET,,alfanumerico=56; comprimento:9-32=43; comprimento:1-8=24; contem-byte-nao-ascii=14; texto/simbolos=11,somente no anômalo
parametro_query,query_param:precio,2000,5.5556,2489,9.9302,4.3746,GET,GET,comprimento:1-8=2000; inteiro=2000,comprimento:1-8=2320; inteiro=2087; texto/simbolos=388; comprimento:33-128=102; contem-aspas=98; percent-encoded=92; contem-espaco=87; comprimento:9-32=54; contem-marcacao-angle-brackets=51; contem-ponto-e-virgula=39; contem-parenteses=36; comprimento:129-512=13,mais frequente no anômalo
parametro_query,query_param:precioA,0,0.0,234,0.9336,0.9336,,GET,,comprimento:1-8=234; inteiro=234,somente no anômalo
