nome_feature,origem,tipo,descricao,forma_calculo,aplicabilidade,observacoes_limitacoes,status
url_alpha_ratio,url,continua,Proporção de caracteres alfabéticos. Aplicada a url.,Caracteres alfabéticos / comprimento decodificado.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_digit_ratio,url,continua,Proporção de caracteres numéricos. Aplicada a url.,Dígitos / comprimento decodificado.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_special_ratio,url,continua,Proporção de caracteres especiais. Aplicada a url.,Caracteres não alfanuméricos e não espaços / comprimento decodificado.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_entropy,url,continua,Entropia de Shannon da composição. Aplicada a url.,-Σ p(c)·log2(p(c)) sobre caracteres decodificados.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_max_repeat_run,url,contagem,Maior repetição consecutiva do mesmo caractere. Aplicada a url.,Comprimento máximo de uma sequência de caracteres iguais.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_sql_pattern_count,url,contagem,Ocorrências de padrões SQL genéricos. Aplicada a url.,Soma de correspondências de expressões regulares SQL após uma decodificação.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_xss_pattern_count,url,contagem,Ocorrências de padrões XSS genéricos. Aplicada a url.,"Soma de correspondências de tags, handlers e esquemas associados a XSS.",todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_traversal_pattern_count,url,contagem,Ocorrências de segmentos de navegação relativa. Aplicada a url.,Contagem de segmentos '.' e '..' delimitados por barras.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_shell_metachar_count,url,contagem,Metacaracteres comuns de shell/comando. Aplicada a url.,Contagem de ; & | ` $ < >.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_length_raw,path,contagem,Comprimento bruto. Aplicada a path.,Número de caracteres antes de decodificar.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_length_decoded_once,path,contagem,Comprimento após uma decodificação percentual. Aplicada a path.,Número de caracteres após uma aplicação de percent-decoding.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_percent_encoding_count,path,contagem,Quantidade de sequências percent-encoded válidas. Aplicada a path.,Contagem de ocorrências %HH.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_invalid_percent_count,path,contagem,Sinais de porcentagem sem par hexadecimal válido. Aplicada a path.,Quantidade de '%' menos ocorrências %HH.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_non_ascii_count,path,contagem,Caracteres não ASCII após uma decodificação. Aplicada a path.,Contagem de caracteres com código maior que 127.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_control_char_count,path,contagem,Caracteres de controle. Aplicada a path.,Contagem de códigos menores que 32 ou iguais a 127.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_alpha_ratio,path,continua,Proporção de caracteres alfabéticos. Aplicada a path.,Caracteres alfabéticos / comprimento decodificado.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_digit_ratio,path,continua,Proporção de caracteres numéricos. Aplicada a path.,Dígitos / comprimento decodificado.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_special_ratio,path,continua,Proporção de caracteres especiais. Aplicada a path.,Caracteres não alfanuméricos e não espaços / comprimento decodificado.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_entropy,path,continua,Entropia de Shannon da composição. Aplicada a path.,-Σ p(c)·log2(p(c)) sobre caracteres decodificados.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_max_repeat_run,path,contagem,Maior repetição consecutiva do mesmo caractere. Aplicada a path.,Comprimento máximo de uma sequência de caracteres iguais.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_sql_pattern_count,path,contagem,Ocorrências de padrões SQL genéricos. Aplicada a path.,Soma de correspondências de expressões regulares SQL após uma decodificação.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_xss_pattern_count,path,contagem,Ocorrências de padrões XSS genéricos. Aplicada a path.,"Soma de correspondências de tags, handlers e esquemas associados a XSS.",todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_traversal_pattern_count,path,contagem,Ocorrências de segmentos de navegação relativa. Aplicada a path.,Contagem de segmentos '.' e '..' delimitados por barras.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
path_shell_metachar_count,path,contagem,Metacaracteres comuns de shell/comando. Aplicada a path.,Contagem de ; & | ` $ < >.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_length_raw,query,contagem,Comprimento bruto. Aplicada a query.,Número de caracteres antes de decodificar.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_length_decoded_once,query,contagem,Comprimento após uma decodificação percentual. Aplicada a query.,Número de caracteres após uma aplicação de percent-decoding.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_percent_encoding_count,query,contagem,Quantidade de sequências percent-encoded válidas. Aplicada a query.,Contagem de ocorrências %HH.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_invalid_percent_count,query,contagem,Sinais de porcentagem sem par hexadecimal válido. Aplicada a query.,Quantidade de '%' menos ocorrências %HH.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_non_ascii_count,query,contagem,Caracteres não ASCII após uma decodificação. Aplicada a query.,Contagem de caracteres com código maior que 127.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_control_char_count,query,contagem,Caracteres de controle. Aplicada a query.,Contagem de códigos menores que 32 ou iguais a 127.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_alpha_ratio,query,continua,Proporção de caracteres alfabéticos. Aplicada a query.,Caracteres alfabéticos / comprimento decodificado.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_digit_ratio,query,continua,Proporção de caracteres numéricos. Aplicada a query.,Dígitos / comprimento decodificado.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_special_ratio,query,continua,Proporção de caracteres especiais. Aplicada a query.,Caracteres não alfanuméricos e não espaços / comprimento decodificado.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_entropy,query,continua,Entropia de Shannon da composição. Aplicada a query.,-Σ p(c)·log2(p(c)) sobre caracteres decodificados.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_max_repeat_run,query,contagem,Maior repetição consecutiva do mesmo caractere. Aplicada a query.,Comprimento máximo de uma sequência de caracteres iguais.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_sql_pattern_count,query,contagem,Ocorrências de padrões SQL genéricos. Aplicada a query.,Soma de correspondências de expressões regulares SQL após uma decodificação.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_xss_pattern_count,query,contagem,Ocorrências de padrões XSS genéricos. Aplicada a query.,"Soma de correspondências de tags, handlers e esquemas associados a XSS.",componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_traversal_pattern_count,query,contagem,Ocorrências de segmentos de navegação relativa. Aplicada a query.,Contagem de segmentos '.' e '..' delimitados por barras.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
query_shell_metachar_count,query,contagem,Metacaracteres comuns de shell/comando. Aplicada a query.,Contagem de ; & | ` $ < >.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_length_raw,body,contagem,Comprimento bruto. Aplicada a body.,Número de caracteres antes de decodificar.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_length_decoded_once,body,contagem,Comprimento após uma decodificação percentual. Aplicada a body.,Número de caracteres após uma aplicação de percent-decoding.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_percent_encoding_count,body,contagem,Quantidade de sequências percent-encoded válidas. Aplicada a body.,Contagem de ocorrências %HH.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_invalid_percent_count,body,contagem,Sinais de porcentagem sem par hexadecimal válido. Aplicada a body.,Quantidade de '%' menos ocorrências %HH.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_non_ascii_count,body,contagem,Caracteres não ASCII após uma decodificação. Aplicada a body.,Contagem de caracteres com código maior que 127.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_control_char_count,body,contagem,Caracteres de controle. Aplicada a body.,Contagem de códigos menores que 32 ou iguais a 127.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_alpha_ratio,body,continua,Proporção de caracteres alfabéticos. Aplicada a body.,Caracteres alfabéticos / comprimento decodificado.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_digit_ratio,body,continua,Proporção de caracteres numéricos. Aplicada a body.,Dígitos / comprimento decodificado.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_special_ratio,body,continua,Proporção de caracteres especiais. Aplicada a body.,Caracteres não alfanuméricos e não espaços / comprimento decodificado.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_entropy,body,continua,Entropia de Shannon da composição. Aplicada a body.,-Σ p(c)·log2(p(c)) sobre caracteres decodificados.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_max_repeat_run,body,contagem,Maior repetição consecutiva do mesmo caractere. Aplicada a body.,Comprimento máximo de uma sequência de caracteres iguais.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_sql_pattern_count,body,contagem,Ocorrências de padrões SQL genéricos. Aplicada a body.,Soma de correspondências de expressões regulares SQL após uma decodificação.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_xss_pattern_count,body,contagem,Ocorrências de padrões XSS genéricos. Aplicada a body.,"Soma de correspondências de tags, handlers e esquemas associados a XSS.",componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_traversal_pattern_count,body,contagem,Ocorrências de segmentos de navegação relativa. Aplicada a body.,Contagem de segmentos '.' e '..' delimitados por barras.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
body_shell_metachar_count,body,contagem,Metacaracteres comuns de shell/comando. Aplicada a body.,Contagem de ; & | ` $ < >.,componente presente,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_is_absolute,url,binaria,Target em forma absoluta.,1 quando scheme e autoridade estão presentes.,todas as requisições,,candidata; decisão pendente
url_parse_error,url,binaria,Falha estrutural no parsing geral da URL.,1 quando urlsplit não consegue interpretar o target.,todas as requisições,,candidata; decisão pendente
url_scheme_is_http,url,binaria,Scheme HTTP.,1 quando scheme é http.,todas as requisições,,candidata; decisão pendente
url_scheme_is_https,url,binaria,Scheme HTTPS.,1 quando scheme é https.,todas as requisições,,candidata; decisão pendente
url_scheme_is_other,url,binaria,Outro scheme explícito.,1 para scheme presente diferente de HTTP/HTTPS.,todas as requisições,,candidata; decisão pendente
url_scheme_missing,url,binaria,Ausência de scheme.,1 quando o request-target não contém scheme.,todas as requisições,,candidata; decisão pendente
url_host_present,url,binaria,Host presente no target.,1 quando a URL contém hostname interpretável.,todas as requisições,,candidata; decisão pendente
url_host_length,url,contagem,Comprimento do hostname.,Número de caracteres do hostname; ausente quando indisponível.,todas as requisições,,candidata; decisão pendente
url_host_label_count,url,contagem,Quantidade de rótulos no hostname.,Número de partes não vazias separadas por ponto.,todas as requisições,,candidata; decisão pendente
url_host_is_ip,url,binaria,Hostname é endereço IP.,1 quando ipaddress reconhece IPv4 ou IPv6; ausente sem host.,todas as requisições,,candidata; decisão pendente
url_host_non_ascii_count,url,contagem,Caracteres não ASCII no hostname.,Contagem de caracteres do host acima de 127.,todas as requisições,,candidata; decisão pendente
url_userinfo_present,url,binaria,Credenciais/userinfo na autoridade.,1 quando username ou password aparece na URL.,todas as requisições,,candidata; decisão pendente
url_port_present,url,binaria,Delimitador de porta explícito.,1 quando a autoridade contém componente de porta.,todas as requisições,Falhas de porta ficam separadas de ausência; nunca são convertidas silenciosamente em zero.,candidata; decisão pendente
url_port_valid,url,binaria,Porta explícita numericamente válida.,1 para inteiro entre 0 e 65535; 0 para representação inválida; ausente quando não há porta.,porta explícita,Falhas de porta ficam separadas de ausência; nunca são convertidas silenciosamente em zero.,candidata; decisão pendente
url_port_value,url,contagem,Valor numérico da porta.,Inteiro da porta; ausente quando não há porta ou ela é inválida.,porta explícita,Falhas de porta ficam separadas de ausência; nunca são convertidas silenciosamente em zero.,candidata; decisão pendente
url_port_is_standard,url,binaria,Porta HTTP/HTTPS usual.,1 para 80 ou 443; ausente sem porta válida.,porta explícita,Falhas de porta ficam separadas de ausência; nunca são convertidas silenciosamente em zero.,candidata; decisão pendente
url_fragment_present,url,binaria,Fragmento presente no target.,1 quando há componente após #.,todas as requisições,,candidata; decisão pendente
path_segment_count,path,contagem,Quantidade de segmentos não vazios.,Partes não vazias separadas por '/'.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_depth,path,contagem,Profundidade do path.,Igual à quantidade de segmentos não vazios.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_empty_inner_segment_count,path,contagem,Segmentos vazios internos.,Partes vazias entre a primeira e a última barra.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_double_slash_count,path,contagem,Ocorrências de barras duplas.,Contagem de '//'.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_dot_segment_count,path,contagem,Segmentos exatamente '.' ou '..'.,Contagem de segmentos de navegação relativa.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_segments_with_dot_count,path,contagem,Segmentos que contêm ponto.,Quantidade de segmentos contendo '.'.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_extension_like_segment_count,path,contagem,Segmentos com aparência de extensão.,Segmentos com ponto interno ou iniciados por ponto e seguidos por caracteres.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_max_extensions_in_segment,path,contagem,Maior quantidade de sufixos separados por ponto num segmento.,Máximo de pontos úteis por segmento.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_hidden_segment_count,path,contagem,Segmentos iniciados por ponto.,Contagem de segmentos cujo primeiro caractere é '.'.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_nested_extension_transition,path,binaria,Extensão seguida de outro segmento com aparência de extensão.,1 quando um segmento com extensão é seguido por segmento iniciado por ponto ou também contendo extensão.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_max_segment_length,path,contagem,Maior comprimento de segmento.,Máximo dos comprimentos dos segmentos decodificados uma vez.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_trailing_slash,path,binaria,Path termina com barra.,1 quando termina em '/'.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
path_backslash_count,path,contagem,Quantidade de barras invertidas.,Contagem de '\'.,todas as requisições,Preserva estrutura sem memorizar nomes concretos de arquivos ou diretórios.,candidata; decisão pendente
query_present,query,binaria,Presença do componente. Aplicada a query.,1 quando o delimitador/componente existe.,todas as requisições,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_parameter_count,query,contagem,Quantidade de pares de parâmetros. Aplicada a query.,Número de partes não vazias separadas por '&'.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_distinct_parameter_name_count,query,contagem,Quantidade de nomes distintos. Aplicada a query.,Cardinalidade dos nomes após uma decodificação.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_repeated_parameter_count,query,contagem,Parâmetros repetidos. Aplicada a query.,Quantidade de ocorrências além da primeira para cada nome.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_empty_name_count,query,contagem,Parâmetros com nome vazio. Aplicada a query.,Contagem de pares cujo nome decodificado é vazio.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_empty_value_count,query,contagem,Parâmetros com valor vazio. Aplicada a query.,Contagem de pares cujo valor decodificado é vazio.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_without_equals_count,query,contagem,Partes sem sinal de igual. Aplicada a query.,Contagem de fragmentos de parâmetro sem '='.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_mean_name_length,query,continua,Comprimento médio dos nomes. Aplicada a query.,Média dos comprimentos dos nomes decodificados.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_max_name_length,query,contagem,Maior nome de parâmetro. Aplicada a query.,Máximo dos comprimentos dos nomes decodificados.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_mean_value_length,query,continua,Comprimento médio dos valores. Aplicada a query.,Média dos comprimentos dos valores decodificados.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_max_value_length,query,contagem,Maior valor de parâmetro. Aplicada a query.,Máximo dos comprimentos dos valores decodificados.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
query_total_value_length,query,contagem,Comprimento total dos valores. Aplicada a query.,Soma dos comprimentos dos valores decodificados.,query presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_present,body,binaria,Presença do componente. Aplicada a body.,1 quando o delimitador/componente existe.,todas as requisições,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_parameter_count,body,contagem,Quantidade de pares de parâmetros. Aplicada a body.,Número de partes não vazias separadas por '&'.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_distinct_parameter_name_count,body,contagem,Quantidade de nomes distintos. Aplicada a body.,Cardinalidade dos nomes após uma decodificação.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_repeated_parameter_count,body,contagem,Parâmetros repetidos. Aplicada a body.,Quantidade de ocorrências além da primeira para cada nome.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_empty_name_count,body,contagem,Parâmetros com nome vazio. Aplicada a body.,Contagem de pares cujo nome decodificado é vazio.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_empty_value_count,body,contagem,Parâmetros com valor vazio. Aplicada a body.,Contagem de pares cujo valor decodificado é vazio.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_without_equals_count,body,contagem,Partes sem sinal de igual. Aplicada a body.,Contagem de fragmentos de parâmetro sem '='.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_mean_name_length,body,continua,Comprimento médio dos nomes. Aplicada a body.,Média dos comprimentos dos nomes decodificados.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_max_name_length,body,contagem,Maior nome de parâmetro. Aplicada a body.,Máximo dos comprimentos dos nomes decodificados.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_mean_value_length,body,continua,Comprimento médio dos valores. Aplicada a body.,Média dos comprimentos dos valores decodificados.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
body_max_value_length,body,contagem,Maior valor de parâmetro. Aplicada a body.,Máximo dos comprimentos dos valores decodificados.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
