nome_feature,origem,tipo,dataset,quantidade_total,quantidade_valida,quantidade_ausente,percentual_valido,minimo,maximo,media,mediana,desvio_padrao,p01,p05,p25,p75,p95,p99,quantidade_zero,quantidade_nao_zero,percentual_nao_zero,quantidade_distintos,frequencias
path_shell_metachar_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_shell_metachar_count,path,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
query_length_raw,query,contagem,normal,36000,8000,28000,22.222222,4,307,91.56175,47.5,95.642859,4,4,29,110.5,264,277,0,8000,100,116,
query_length_raw,query,contagem,anomalo,25065,9609,15456,38.336326,4,836,122.947653,72,111.379572,5,6,41,243,301.6,402.84,0,9609,100,382,
query_length_decoded_once,query,contagem,normal,36000,8000,28000,22.222222,4,299,89.16825,47.5,92.462485,4,4,29,106.5,256,268,0,8000,100,108,
query_length_decoded_once,query,contagem,anomalo,25065,9609,15456,38.336326,4,611,113.021959,67,100.18908,5,5,39,235,279,349,0,9609,100,341,
query_percent_encoding_count,query,contagem,normal,36000,8000,28000,22.222222,0,12,1.19675,0,1.817702,0,0,0,2,5,7,4803,3197,39.9625,11,
query_percent_encoding_count,query,contagem,anomalo,25065,9609,15456,38.336326,0,114,4.962847,3,10.700123,0,0,1,6,15,23.92,2196,7413,77.146425,34,
query_invalid_percent_count,query,contagem,normal,36000,8000,28000,22.222222,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,1,
query_invalid_percent_count,query,contagem,anomalo,25065,9609,15456,38.336326,0,0,0,0,0,0,0,0,0,0,0,9609,0,0,1,
query_non_ascii_count,query,contagem,normal,36000,8000,28000,22.222222,0,5,0.494375,0,0.867593,0,0,0,1,3,3,5484,2516,31.45,6,
query_non_ascii_count,query,contagem,anomalo,25065,9609,15456,38.336326,0,6,0.538349,0,0.870901,0,0,0,1,3,3,6209,3400,35.383495,7,
query_control_char_count,query,contagem,normal,36000,8000,28000,22.222222,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,1,
query_control_char_count,query,contagem,anomalo,25065,9609,15456,38.336326,0,0,0,0,0,0,0,0,0,0,0,9609,0,0,1,
query_alpha_ratio,query,continua,normal,36000,8000,28000,22.222222,0.5,0.939394,0.743937,0.735294,0.117995,0.5,0.5,0.7125,0.823529,0.939394,0.939394,0,8000,100,não calculado,
query_alpha_ratio,query,continua,anomalo,25065,9609,15456,38.336326,0.166189,1,0.702969,0.717949,0.121016,0.266667,0.45098,0.677966,0.74359,0.888889,0.941176,0,9609,100,não calculado,
query_digit_ratio,query,continua,normal,36000,8000,28000,22.222222,0,0.25,0.107138,0.108108,0.072882,0,0,0.058824,0.141675,0.25,0.25,1000,7000,87.5,não calculado,
query_digit_ratio,query,continua,anomalo,25065,9609,15456,38.336326,0,0.512894,0.119496,0.119522,0.08325,0,0,0.065574,0.148649,0.261105,0.444444,702,8907,92.694349,não calculado,
query_special_ratio,query,continua,normal,36000,8000,28000,22.222222,0.030303,0.25,0.123706,0.125523,0.061223,0.030303,0.030303,0.087877,0.138462,0.25,0.25,0,8000,100,não calculado,
query_special_ratio,query,continua,anomalo,25065,9609,15456,38.336326,0,0.517241,0.152103,0.136364,0.074651,0.029412,0.055556,0.12037,0.166667,0.309524,0.454545,12,9597,99.875117,não calculado,
query_entropy,query,continua,normal,36000,8000,28000,22.222222,2,5.184253,3.98068,4.217563,0.926083,2,2,3.592188,4.72257,5.032334,5.094545,0,8000,100,não calculado,
query_entropy,query,continua,anomalo,25065,9609,15456,38.336326,1.918296,5.400552,4.362618,4.490427,0.732639,2.321928,2.321928,4.188855,4.950615,5.120326,5.222923,0,9609,100,não calculado,
query_max_repeat_run,query,contagem,normal,36000,8000,28000,22.222222,1,5,1.797125,2,0.53312,1,1,1,2,3,3,0,8000,100,5,
query_max_repeat_run,query,contagem,anomalo,25065,9609,15456,38.336326,1,4,1.842335,2,0.512731,1,1,2,2,3,3,0,9609,100,4,
query_sql_pattern_count,query,contagem,normal,36000,8000,28000,22.222222,0,1,0.00025,0,0.015809,0,0,0,0,0,0,7998,2,0.025,2,
query_sql_pattern_count,query,contagem,anomalo,25065,9609,15456,38.336326,0,4,0.206057,0,0.605247,0,0,0,0,1,4,8297,1312,13.653866,4,
query_xss_pattern_count,query,contagem,normal,36000,8000,28000,22.222222,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,1,
query_xss_pattern_count,query,contagem,anomalo,25065,9609,15456,38.336326,0,2,0.068061,0,0.350651,0,0,0,0,0,2,9241,368,3.829743,3,
query_traversal_pattern_count,query,contagem,normal,36000,8000,28000,22.222222,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,1,
query_traversal_pattern_count,query,contagem,anomalo,25065,9609,15456,38.336326,0,0,0,0,0,0,0,0,0,0,0,9609,0,0,1,
query_shell_metachar_count,query,contagem,normal,36000,8000,28000,22.222222,0,13,4.25575,3,4.743031,0,0,0,6.75,12,12,3000,5000,62.5,6,
query_shell_metachar_count,query,contagem,anomalo,25065,9609,15456,38.336326,0,17,5.238214,4,4.837603,0,0,2,12,12,15,2201,7408,77.094391,16,
body_length_raw,body,contagem,normal,36000,8000,28000,22.222222,4,307,91.56175,47.5,95.642859,4,4,29,110.5,264,277,0,8000,100,116,
body_length_raw,body,contagem,anomalo,25065,9977,15088,39.804508,4,836,122.054024,72,111.019695,5,5,41,243,299,392.68,0,9977,100,382,
body_length_decoded_once,body,contagem,normal,36000,8000,28000,22.222222,4,299,89.16825,47.5,92.462485,4,4,29,106.5,256,268,0,8000,100,108,
body_length_decoded_once,body,contagem,anomalo,25065,9977,15088,39.804508,4,611,112.388794,66,100.052047,5,5,39,235,278,349,0,9977,100,341,
body_percent_encoding_count,body,contagem,normal,36000,8000,28000,22.222222,0,12,1.19675,0,1.817702,0,0,0,2,5,7,4803,3197,39.9625,11,
body_percent_encoding_count,body,contagem,anomalo,25065,9977,15088,39.804508,0,114,4.832615,2,10.528428,0,0,1,6,15,23,2389,7588,76.054926,34,
body_invalid_percent_count,body,contagem,normal,36000,8000,28000,22.222222,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,1,
body_invalid_percent_count,body,contagem,anomalo,25065,9977,15088,39.804508,0,0,0,0,0,0,0,0,0,0,0,9977,0,0,1,
body_non_ascii_count,body,contagem,normal,36000,8000,28000,22.222222,0,5,0.494375,0,0.867593,0,0,0,1,3,3,5484,2516,31.45,6,
body_non_ascii_count,body,contagem,anomalo,25065,9977,15088,39.804508,0,6,0.53934,0,0.871221,0,0,0,1,3,3,6438,3539,35.471585,7,
body_control_char_count,body,contagem,normal,36000,8000,28000,22.222222,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,1,
body_control_char_count,body,contagem,anomalo,25065,9977,15088,39.804508,0,0,0,0,0,0,0,0,0,0,0,9977,0,0,1,
body_alpha_ratio,body,continua,normal,36000,8000,28000,22.222222,0.5,0.939394,0.743937,0.735294,0.117995,0.5,0.5,0.7125,0.823529,0.939394,0.939394,0,8000,100,não calculado,
body_alpha_ratio,body,continua,anomalo,25065,9977,15088,39.804508,0.166189,0.941176,0.703888,0.717949,0.12061,0.266667,0.451613,0.68,0.744186,0.911765,0.941176,0,9977,100,não calculado,
body_digit_ratio,body,continua,normal,36000,8000,28000,22.222222,0,0.25,0.107138,0.108108,0.072882,0,0,0.058824,0.141675,0.25,0.25,1000,7000,87.5,não calculado,
body_digit_ratio,body,continua,anomalo,25065,9977,15088,39.804508,0,0.512894,0.119328,0.119231,0.082787,0,0,0.065574,0.148305,0.251181,0.444444,731,9246,92.673148,não calculado,
body_special_ratio,body,continua,normal,36000,8000,28000,22.222222,0.030303,0.25,0.123706,0.125523,0.061223,0.030303,0.030303,0.087877,0.138462,0.25,0.25,0,8000,100,não calculado,
body_special_ratio,body,continua,anomalo,25065,9977,15088,39.804508,0.029412,0.517241,0.151311,0.136364,0.074178,0.029412,0.055556,0.120141,0.166667,0.305556,0.454545,0,9977,100,não calculado,
body_entropy,body,continua,normal,36000,8000,28000,22.222222,2,5.184253,3.98068,4.217563,0.926083,2,2,3.592188,4.72257,5.032334,5.094545,0,8000,100,não calculado,
body_entropy,body,continua,anomalo,25065,9977,15088,39.804508,1.918296,5.400552,4.351985,4.482289,0.7422,2,2.321928,4.179776,4.949547,5.117296,5.220534,0,9977,100,não calculado,
body_max_repeat_run,body,contagem,normal,36000,8000,28000,22.222222,1,5,1.797125,2,0.53312,1,1,1,2,3,3,0,8000,100,5,
body_max_repeat_run,body,contagem,anomalo,25065,9977,15088,39.804508,1,4,1.843841,2,0.512127,1,1,2,2,3,3,0,9977,100,4,
body_sql_pattern_count,body,contagem,normal,36000,8000,28000,22.222222,0,1,0.00025,0,0.015809,0,0,0,0,0,0,7998,2,0.025,2,
body_sql_pattern_count,body,contagem,anomalo,25065,9977,15088,39.804508,0,4,0.198456,0,0.595248,0,0,0,0,1,4,8665,1312,13.150246,4,
body_xss_pattern_count,body,contagem,normal,36000,8000,28000,22.222222,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,1,
body_xss_pattern_count,body,contagem,anomalo,25065,9977,15088,39.804508,0,2,0.065551,0,0.344363,0,0,0,0,0,2,9609,368,3.688484,3,
body_traversal_pattern_count,body,contagem,normal,36000,8000,28000,22.222222,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,1,
body_traversal_pattern_count,body,contagem,anomalo,25065,9977,15088,39.804508,0,0,0,0,0,0,0,0,0,0,0,9977,0,0,1,
body_shell_metachar_count,body,contagem,normal,36000,8000,28000,22.222222,0,13,4.25575,3,4.743031,0,0,0,6.75,12,12,3000,5000,62.5,6,
body_shell_metachar_count,body,contagem,anomalo,25065,9977,15088,39.804508,0,17,5.225218,4,4.833718,0,0,2,12,12,15,2308,7669,76.866794,16,
url_is_absolute,url,binaria,normal,36000,36000,0,100,1,1,1,1,0,1,1,1,1,1,1,0,36000,100,1,1=36000
url_is_absolute,url,binaria,anomalo,25065,25065,0,100,1,1,1,1,0,1,1,1,1,1,1,0,25065,100,1,1=25065
url_parse_error,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
url_parse_error,url,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
url_scheme_is_http,url,binaria,normal,36000,36000,0,100,1,1,1,1,0,1,1,1,1,1,1,0,36000,100,1,1=36000
url_scheme_is_http,url,binaria,anomalo,25065,25065,0,100,1,1,1,1,0,1,1,1,1,1,1,0,25065,100,1,1=25065
url_scheme_is_https,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
url_scheme_is_https,url,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
url_scheme_is_other,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
url_scheme_is_other,url,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
url_scheme_missing,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
url_scheme_missing,url,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
url_host_present,url,binaria,normal,36000,36000,0,100,1,1,1,1,0,1,1,1,1,1,1,0,36000,100,1,1=36000
url_host_present,url,binaria,anomalo,25065,25065,0,100,1,1,1,1,0,1,1,1,1,1,1,0,25065,100,1,1=25065
url_host_length,url,contagem,normal,36000,36000,0,100,9,9,9,9,0,9,9,9,9,9,9,0,36000,100,1,
url_host_length,url,contagem,anomalo,25065,25065,0,100,9,9,9,9,0,9,9,9,9,9,9,0,25065,100,1,
url_host_label_count,url,contagem,normal,36000,36000,0,100,1,1,1,1,0,1,1,1,1,1,1,0,36000,100,1,
url_host_label_count,url,contagem,anomalo,25065,25065,0,100,1,1,1,1,0,1,1,1,1,1,1,0,25065,100,1,
url_host_is_ip,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
url_host_is_ip,url,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
url_host_non_ascii_count,url,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
url_host_non_ascii_count,url,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
url_userinfo_present,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
url_userinfo_present,url,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
url_port_present,url,binaria,normal,36000,36000,0,100,1,1,1,1,0,1,1,1,1,1,1,0,36000,100,1,1=36000
url_port_present,url,binaria,anomalo,25065,25065,0,100,1,1,1,1,0,1,1,1,1,1,1,0,25065,100,1,1=25065
url_port_valid,url,binaria,normal,36000,36000,0,100,1,1,1,1,0,1,1,1,1,1,1,0,36000,100,1,1=36000
url_port_valid,url,binaria,anomalo,25065,25065,0,100,0,1,0.990784,1,0.095557,1,1,1,1,1,1,231,24834,99.078396,2,0=231; 1=24834
url_port_value,url,contagem,normal,36000,36000,0,100,8080,8080,8080,8080,0,8080,8080,8080,8080,8080,8080,0,36000,100,1,
url_port_value,url,contagem,anomalo,25065,24834,231,99.078396,8080,8080,8080,8080,0,8080,8080,8080,8080,8080,8080,0,24834,100,1,
url_port_is_standard,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
url_port_is_standard,url,binaria,anomalo,25065,24834,231,99.078396,0,0,0,0,0,0,0,0,0,0,0,24834,0,0,1,0=24834
url_fragment_present,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
url_fragment_present,url,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
path_segment_count,path,contagem,normal,36000,36000,0,100,2,4,3.055556,3,0.328671,2,3,3,3,4,4,0,36000,100,3,
path_segment_count,path,contagem,anomalo,25065,25065,0,100,0,6,2.928466,3,0.622112,0,2,3,3,4,5,265,24800,98.942749,7,
path_depth,path,contagem,normal,36000,36000,0,100,2,4,3.055556,3,0.328671,2,3,3,3,4,4,0,36000,100,3,
path_depth,path,contagem,anomalo,25065,25065,0,100,0,6,2.928466,3,0.622112,0,2,3,3,4,5,265,24800,98.942749,7,
path_empty_inner_segment_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_empty_inner_segment_count,path,contagem,anomalo,25065,25065,0,100,0,1,0.000678,0,0.026034,0,0,0,0,0,0,25048,17,0.067824,2,
path_double_slash_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_double_slash_count,path,contagem,anomalo,25065,25065,0,100,0,1,0.000678,0,0.026034,0,0,0,0,0,0,25048,17,0.067824,2,
path_dot_segment_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_dot_segment_count,path,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
path_segments_with_dot_count,path,contagem,normal,36000,36000,0,100,1,1,1,1,0,1,1,1,1,1,1,0,36000,100,1,
path_segments_with_dot_count,path,contagem,anomalo,25065,25065,0,100,0,3,1.014722,1,0.307469,0,1,1,1,1,2,880,24185,96.489128,4,
path_extension_like_segment_count,path,contagem,normal,36000,36000,0,100,1,1,1,1,0,1,1,1,1,1,1,0,36000,100,1,
path_extension_like_segment_count,path,contagem,anomalo,25065,25065,0,100,0,3,1.014722,1,0.307469,0,1,1,1,1,2,880,24185,96.489128,4,
path_max_extensions_in_segment,path,contagem,normal,36000,36000,0,100,1,1,1,1,0,1,1,1,1,1,1,0,36000,100,1,
path_max_extensions_in_segment,path,contagem,anomalo,25065,25065,0,100,0,2,1.008298,1,0.280084,0,1,1,1,1,2,880,24185,96.489128,3,
path_hidden_segment_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_hidden_segment_count,path,contagem,anomalo,25065,25065,0,100,0,1,0.017115,0,0.129702,0,0,0,0,0,1,24636,429,1.71155,2,
path_nested_extension_transition,path,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
